State,Musician with the most events,Venue with the most events,Most expensive ticket,Most expensive ticket event name,Most expensive ticket artist
NY,P!NK,"NYCB LIVE, Home of The Nassau Veterans Memorial Coliseum",549.95,Jonas Brothers: Happiness Begins Tour,Jonas Brothers
ON,P!NK,Scotiabank Arena,399.99,P!nk: Beautiful Trauma World Tour,P!NK
OH,Lady Antebellum,The Rose Music Center at The Heights,349.0,Florida Georgia Line: Can't Say I Ain't Country Tour,Florida Georgia Line
KS,Suicideboys,Providence Medical Center Amphitheater,NA,NA,NA
IL,Gucci Mane,Wintrust Arena,362.75,Florida Georgia Line: Can't Say I Ain't Country Tour,Florida Georgia Line
NC,Neha Kakkar,Duke Energy Center for the Performing Arts,495.95,Jonas Brothers: Happiness Begins Tour,Jonas Brothers
CA,Legado 7,The Forum,250.0,SMO & Los Reyes Del Corrido,Legado 7
PA,Khalid,Wells Fargo Center-PA,850.0,Backstreet Boys: DNA World Tour,Backstreet Boys
CT,Khalid,XL Center,NA,NA,NA
DC,Khalid,Capital One Arena,499.95,Jonas Brothers: Happiness Begins Tour,Jonas Brothers
MA,Khalid,TD Garden,244.5,Backstreet Boys: DNA World Tour,Backstreet Boys
MO,PRETTYMUCH,The Pageant,122.5,Florida Georgia Line: Can't Say I Ain't Country Tour,Florida Georgia Line
FL,Khalid,Amway Center,850.0,Backstreet Boys: DNA World Tour,Backstreet Boys
TX,Bad Bunny,Dos Equis Pavilion,189.5,Uforia Latino Mix Live,Bad Bunny
GA,Jonas Brothers,State Farm Arena,499.95,Jonas Brothers: Happiness Begins Tour,Jonas Brothers
VA,Florida Georgia Line,Jiffy Lube Live,225.0,Chris Young: Raised On Country Tour,Chris Young
MI,Backstreet Boys,Little Caesars Arena,249.5,Backstreet Boys: DNA World Tour,Backstreet Boys
NE,JoJo Siwa,Baxter Arena,69.5,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,JoJo Siwa
OR,JoJo Siwa,Moda Center,66.5,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,JoJo Siwa
UT,Backstreet Boys,Vivint Smart Home Arena,500.0,Backstreet Boys: DNA World Tour,Backstreet Boys
IA,JoJo Siwa,U.S. Cellular Center,NA,NA,NA
MD,Anthony Hamilton,Merriweather Post Pavilion,250.0,Summer Spirit Festival,Anthony Hamilton
NV,JoJo Siwa,Reno Events Center,69.5,Nickelodeon's JoJo Siwa D.R.E.A.M The Tour,JoJo Siwa
WA,JoJo Siwa,Marymoor Park,140.0,Christian Nodal,Christian Nodal
CO,JoJo Siwa,1STBANK Center,49.0,Blueface,Blueface
NJ,Chris Stapleton,PNC Bank Arts Center,89.75,Chris Stapleton's All American Road Show,Chris Stapleton
IN,Blueface,Egyptian Room at Old National Centre,50.0,Blueface,Blueface
TN,Backstreet Boys,FedExForum,122.0,Backstreet Boys: DNA World Tour,Backstreet Boys
OK,Backstreet Boys,BOK Center,134.5,Backstreet Boys: DNA World Tour,Backstreet Boys
BC,JoJo Siwa,UBC - Doug Mitchell Thunderbird Sports Centre,375.0,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,JoJo Siwa
QC,Khalid,Centre Bell Centre,NA,NA,NA
WI,JoJo Siwa,BMO Harris Pavilion,86.03,Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,JoJo Siwa
MN,Christian Nodal,State Theatre,144.0,Christian Nodal,Christian Nodal
NM,Chris Tomlin,Inn of the Mountain Gods Resort and Casino,99.0,Chris Tomlin,Chris Tomlin
HI,Daniel Caesar,The Republik,NA,NA,NA
AZ,Blueface,Comerica Theatre ,50.0,Blueface,Blueface
